,Phrase,Review,Count
0,assassin creed shadow,ButWhyTho,30
1,assassin creed shadow,CGMagazine,13
2,assassin creed shadow,Checkpoint,6
3,assassin creed shadow,CNET,6
4,assassin creed shadow,COG,9
5,assassin creed shadow,ComicBook,8
6,assassin creed shadow,Creative Bloq,7
7,assassin creed shadow,Dexerto,8
8,assassin creed shadow,Digital Trends,15
9,assassin creed shadow,digitalchumps,6
10,assassin creed shadow,DigitalSpy,1
11,assassin creed shadow,DualShockers,8
12,assassin creed shadow,Eurogamer,6
13,assassin creed shadow,Finger Guns,7
14,assassin creed shadow,Game Informer,2
15,assassin creed shadow,Game8,9
16,assassin creed shadow,Gamecritics,1
17,assassin creed shadow,GameGrin,3
18,assassin creed shadow,gamepressure,8
19,assassin creed shadow,Gamer Escape,2
20,assassin creed shadow,GameRant,35
21,assassin creed shadow,Gamereactor,6
22,assassin creed shadow,Gamers Heroes,6
23,assassin creed shadow,GamesHub,9
24,assassin creed shadow,GameSpew,13
25,assassin creed shadow,GameSpot,4
26,assassin creed shadow,GamesRadar,10
27,assassin creed shadow,Gaming Age,6
28,assassin creed shadow,GamingBible,9
29,assassin creed shadow,GamingBolt,19
30,assassin creed shadow,GamingTrend,10
31,assassin creed shadow,HardcoreGamer,20
32,assassin creed shadow,Hey Poor Player,5
33,assassin creed shadow,Hooked Gamers,7
34,assassin creed shadow,IGN,2
35,assassin creed shadow,Impulse Gamer,3
36,assassin creed shadow,Inverse,4
37,assassin creed shadow,Kotaku,6
38,assassin creed shadow,Loot Level Chill,4
39,assassin creed shadow,Metro News,6
40,assassin creed shadow,Movies Games and Tech,2
41,assassin creed shadow,New Game Network,3
42,assassin creed shadow,nme,4
43,assassin creed shadow,NoisyPixel,9
44,assassin creed shadow,Order of the Template,5
45,assassin creed shadow,PC Gamer,7
46,assassin creed shadow,PCGamesN,5
47,assassin creed shadow,Player2,2
48,assassin creed shadow,PlayStation LifeStyle,5
49,assassin creed shadow,PlayStation Universe,5
50,assassin creed shadow,Polygon,4
51,assassin creed shadow,Push Square,4
52,assassin creed shadow,Radio Times,5
53,assassin creed shadow,Ragequit,1
54,assassin creed shadow,Rock Paper Shotgun,2
55,assassin creed shadow,RPG Site,11
56,assassin creed shadow,RPGFan,13
57,assassin creed shadow,ScreenRant,19
58,assassin creed shadow,Shacknews,7
59,assassin creed shadow,Siliconera,16
60,assassin creed shadow,slant,3
61,assassin creed shadow,Softpedia,8
62,assassin creed shadow,Stevivor,10
63,assassin creed shadow,TechRadar,12
64,assassin creed shadow,The Guardian,4
65,assassin creed shadow,The Verge,4
66,assassin creed shadow,TheEscapist,16
67,assassin creed shadow,TheGamer,7
68,assassin creed shadow,TheSixthAxis,8
69,assassin creed shadow,TheXboxHub,7
70,assassin creed shadow,TrueAchievments,7
71,assassin creed shadow,Twinfinite,12
72,assassin creed shadow,VG247,3
73,assassin creed shadow,VGC,7
74,assassin creed shadow,VideoGamer,4
75,assassin creed shadow,wccftech,22
76,assassin creed shadow,Well Played,2
77,assassin creed shadow,wgtc,2
78,assassin creed shadow,Windows Central,28
79,assassin creed shadow,Worthplaying PC,2
80,assassin creed shadow,Worthplaying,1
81,assassin creed shadow,Xbox Tavern,2
82,assassin creed shadow,XboxAchievements,3
83,assassin creed shadow,XboxEra,5
84,assassin creed shadow,ZTGD,6
85,creed shadow review,ButWhyTho,1
86,creed shadow review,Checkpoint,1
87,creed shadow review,COG,1
88,creed shadow review,ComicBook,1
89,creed shadow review,Creative Bloq,2
90,creed shadow review,Dexerto,1
91,creed shadow review,Digital Trends,1
92,creed shadow review,DualShockers,1
93,creed shadow review,Eurogamer,1
94,creed shadow review,Finger Guns,1
95,creed shadow review,Game Informer,1
96,creed shadow review,Game8,1
97,creed shadow review,gamepressure,1
98,creed shadow review,Gamers Heroes,1
99,creed shadow review,GamesHub,1
100,creed shadow review,GameSpew,1
101,creed shadow review,GameSpot,1
102,creed shadow review,GamesRadar,2
103,creed shadow review,GamingBible,1
104,creed shadow review,GamingBolt,1
105,creed shadow review,GamingTrend,1
106,creed shadow review,Kotaku,1
107,creed shadow review,Metro News,1
108,creed shadow review,nme,1
109,creed shadow review,NoisyPixel,2
110,creed shadow review,Order of the Template,1
111,creed shadow review,PCGamesN,1
112,creed shadow review,Player2,2
113,creed shadow review,PlayStation LifeStyle,1
114,creed shadow review,PlayStation Universe,1
115,creed shadow review,RPG Site,1
116,creed shadow review,ScreenRant,2
117,creed shadow review,Shacknews,1
118,creed shadow review,slant,2
119,creed shadow review,Stevivor,1
120,creed shadow review,TechRadar,1
121,creed shadow review,The Guardian,1
122,creed shadow review,The Verge,1
123,creed shadow review,TheGamer,1
124,creed shadow review,TrueAchievments,2
125,creed shadow review,Twinfinite,1
126,creed shadow review,VG247,1
127,creed shadow review,VGC,1
128,creed shadow review,wccftech,1
129,ubisoft assassin creed,ButWhyTho,1
130,ubisoft assassin creed,Digital Trends,1
131,ubisoft assassin creed,DualShockers,1
132,ubisoft assassin creed,Gamecritics,1
133,ubisoft assassin creed,Inverse,1
134,ubisoft assassin creed,Metro News,1
135,ubisoft assassin creed,New Game Network,1
136,ubisoft assassin creed,Radio Times,1
137,ubisoft assassin creed,ScreenRant,1
138,ubisoft assassin creed,slant,1
139,ubisoft assassin creed,TheEscapist,1
140,ubisoft assassin creed,wccftech,1
141,ubisoft assassin creed,Windows Central,1
142,creed shadow bring,ButWhyTho,1
143,creed shadow bring,COG,1
144,creed shadow bring,Gamers Heroes,1
145,creed shadow bring,Metro News,1
146,creed shadow bring,New Game Network,1
147,creed shadow bring,The Verge,1
148,player late 16th,ButWhyTho,1
149,player late 16th,wccftech,1
150,late 16th century,ButWhyTho,1
151,late 16th century,COG,1
152,late 16th century,GamingBolt,1
153,late 16th century,PCGamesN,1
154,late 16th century,Twinfinite,1
155,late 16th century,wccftech,2
156,16th century japan,ButWhyTho,1
157,16th century japan,Creative Bloq,1
158,16th century japan,Digital Trends,1
159,16th century japan,digitalchumps,1
160,16th century japan,Finger Guns,1
161,16th century japan,GameSpew,1
162,16th century japan,GameSpot,4
163,16th century japan,GamingBible,1
164,16th century japan,GamingBolt,1
165,16th century japan,Kotaku,1
166,16th century japan,Metro News,2
167,16th century japan,nme,1
168,16th century japan,PC Gamer,1
169,16th century japan,PCGamesN,2
170,16th century japan,PlayStation LifeStyle,1
171,16th century japan,Push Square,1
172,16th century japan,Rock Paper Shotgun,1
173,16th century japan,Siliconera,1
174,16th century japan,TheEscapist,1
175,16th century japan,Twinfinite,1
176,16th century japan,wccftech,1
177,16th century japan,Worthplaying PC,1
178,massive open world,ButWhyTho,1
179,massive open world,Dexerto,1
180,massive open world,Gamereactor,1
181,massive open world,Inverse,1
182,massive open world,Kotaku,1
183,massive open world,PlayStation Universe,1
184,massive open world,slant,1
185,massive open world,Stevivor,1
186,massive open world,TrueAchievments,1
187,open world rpg,ButWhyTho,5
188,open world rpg,COG,1
189,open world rpg,DualShockers,1
190,open world rpg,Finger Guns,2
191,open world rpg,Game Informer,1
192,open world rpg,GameRant,1
193,open world rpg,GamingBible,2
